"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Chart.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Checkbox.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\DangerButton.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Dropdown.vue", "Vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 10, 78
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\DropdownLink.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\FlashMessage.vue", "Vue", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\InputError.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\InputLabel.vue", "Vue", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Modal.vue", "Vue", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 11, 99
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\NavLink.vue", "Vue", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Pagination copy.vue", "Vue", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\laravel\EMS\resources\js\Components\Pagination.vue", "Vue", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
